Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-GPT-5.4,1000,1000,700,950,750,900
painting_2,sold,Mimic-Llama,1200,650,800,1200,1100,1000
painting_3,sold,Mimic-Pro,1550,900,1050,1450,1150,1550
painting_4,sold,Mimic-Llama,1500,1300,750,1500,1400,1000
painting_5,sold,Mimic-Opus,1700,1300,1500,700,1700,1400
painting_6,sold,Mimic-Llama,1750,1450,1050,1750,1250,950
painting_7,sold,Mimic-Llama,2100,1800,2000,2100,1600,1400
painting_8,sold,Mimic-GPT-5.4,2100,2100,1900,1400,2000,1600
painting_9,sold,Mimic-Grok,2100,2000,2100,1400,1800,1600
painting_10,sold,Mimic-Grok,2300,2000,2300,1300,1900,2100
painting_11,sold,Mimic-Pro,4500,3500,1100,1300,4250,4500
painting_12,sold,Mimic-Opus,5250,5000,450,2700,5250,2000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Mimic-GPT-5.4,2,6900,3100,0.31,12,12,0,2254.167
Mimic-Grok,2,5600,4400,0.44,12,12,0,2254.167
Mimic-Llama,4,3450,6550,0.655,12,12,0,2254.167
Mimic-Opus,2,3050,6950,0.695,12,12,0,2254.167
Mimic-Pro,2,3950,6050,0.605,12,12,0,2254.167
