Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Opus,1200,800,1000,1100,1200,550
painting_2,sold,Mimic-Llama,1150,900,1050,1150,600,950
painting_3,sold,Mimic-Pro,1500,1000,1200,1400,950,1500
painting_4,sold,Mimic-GPT-5.4,1300,1200,1300,1100,900,700
painting_5,sold,Mimic-Llama,1400,1300,1100,1400,950,700
painting_6,sold,Math-T3,1900,1900,1000,1800,1200,750
painting_7,sold,Mimic-Pro,1900,1800,1700,1300,1400,1900
painting_8,sold,Mimic-Llama,2150,2050,1850,2150,1650,1250
painting_9,sold,Math-T3,2900,2900,2600,1500,2800,2000
painting_10,sold,Math-T3,3500,3500,3000,2000,3250,2900
painting_11,sold,Mimic-GPT-5.4,4750,1000,4750,3500,4500,2600
painting_12,sold,Mimic-Opus,5500,1500,2800,4000,5500,5250

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,3,1700,8300,0.83,12,12,0,2429.167
Mimic-GPT-5.4,2,3950,6050,0.605,12,12,0,2429.167
Mimic-Llama,3,5300,4700,0.47,12,12,0,2429.167
Mimic-Opus,2,3300,6700,0.67,12,12,0,2429.167
Mimic-Pro,2,6600,3400,0.34,12,12,0,2429.167
