Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T4,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Math-T4,1900,1900,900,600,1800,1000
painting_2,sold,Mimic-Llama,4250,4000,1400,850,4250,1500
painting_3,sold,Math-T4,1600,1600,900,1500,800,1300
painting_4,sold,Mimic-Llama,4600,4350,1600,950,4600,1200
painting_5,sold,Math-T4,1800,1800,1500,1000,200,1700
painting_6,sold,Math-T4,3350,3350,3100,2500,850,2300
painting_7,sold,Mimic-GPT-5.4,4000,1000,4000,3750,1100,3250
painting_8,sold,Mimic-Grok,4000,1000,2800,4000,1100,3500
painting_9,sold,Mimic-Pro,5500,1100,5250,1600,850,5500
painting_10,sold,Mimic-Grok,5800,1000,5300,5800,1150,4050
painting_11,sold,Mimic-GPT-5.4,4800,1250,4800,,950,4050
painting_12,sold,Mimic-Pro,1300,1200,1000,,950,1300

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T4,4,1350,8650,0.865,12,12,0,3575.0
Mimic-GPT-5.4,2,1200,8800,0.88,12,12,0,3575.0
Mimic-Grok,2,200,9800,0.98,12,12,0,3575.0
Mimic-Llama,2,1150,8850,0.885,12,12,0,3575.0
Mimic-Pro,2,3200,6800,0.68,12,12,0,3575.0
