Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 3575.0

painting_1 | status=sold | winner=Math-T4 | winning_bid=1900
  turn 1: Mimic-Pro RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Math-T4 RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Llama RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Mimic-Grok RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Mimic-GPT-5.4 RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Mimic-Pro RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Math-T4 RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Mimic-Llama RAISE to 500 (before=400, leader_after=bidder_3)
  turn 9: Mimic-Grok RAISE to 600 (before=500, leader_after=bidder_4)
  turn 10: Mimic-GPT-5.4 RAISE to 650 (before=600, leader_after=bidder_5)
  turn 11: Mimic-Pro RAISE to 700 (before=650, leader_after=bidder_1)
  turn 12: Math-T4 RAISE to 750 (before=700, leader_after=bidder_2)
  turn 13: Mimic-Llama RAISE to 850 (before=750, leader_after=bidder_3)
  turn 14: Mimic-Grok PASS (before=850, leader_after=bidder_3)
  turn 15: Mimic-GPT-5.4 RAISE to 900 (before=850, leader_after=bidder_5)
  turn 16: Mimic-Pro RAISE to 1000 (before=900, leader_after=bidder_1)
  turn 17: Math-T4 RAISE to 1100 (before=1000, leader_after=bidder_2)
  turn 18: Mimic-Llama RAISE to 1300 (before=1100, leader_after=bidder_3)
  turn 19: Mimic-GPT-5.4 PASS (before=1300, leader_after=bidder_3)
  turn 20: Mimic-Pro PASS (before=1300, leader_after=bidder_3)
  turn 21: Math-T4 RAISE to 1400 (before=1300, leader_after=bidder_2)
  turn 22: Mimic-Llama RAISE to 1600 (before=1400, leader_after=bidder_3)
  turn 23: Math-T4 RAISE to 1700 (before=1600, leader_after=bidder_2)
  turn 24: Mimic-Llama RAISE to 1800 (before=1700, leader_after=bidder_3)
  turn 25: Math-T4 RAISE to 1900 (before=1800, leader_after=bidder_2)
  turn 26: Mimic-Llama PASS (before=1900, leader_after=bidder_2)

painting_2 | status=sold | winner=Mimic-Llama | winning_bid=4250
  turn 1: Mimic-Pro RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Math-T4 RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Llama RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Mimic-Grok RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Mimic-GPT-5.4 RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Mimic-Pro RAISE to 400 (before=300, leader_after=bidder_1)
  turn 7: Math-T4 RAISE to 450 (before=400, leader_after=bidder_2)
  turn 8: Mimic-Llama RAISE to 500 (before=450, leader_after=bidder_3)
  turn 9: Mimic-Grok RAISE to 550 (before=500, leader_after=bidder_4)
  turn 10: Mimic-GPT-5.4 RAISE to 600 (before=550, leader_after=bidder_5)
