Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T4,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Math-T4,1400,1400,950,1000,1300,1200
painting_2,sold,Mimic-Llama,4250,4000,950,400,4250,1500
painting_3,sold,Math-T4,1800,1800,1300,1400,550,1700
painting_4,sold,Mimic-Llama,4750,4250,1700,1900,4750,2700
painting_5,sold,Math-T4,2600,2600,1900,1600,500,2500
painting_6,sold,Math-T4,3250,3250,3000,2400,800,550
painting_7,sold,Mimic-Grok,4850,800,3850,4850,950,4350
painting_8,sold,Mimic-GPT-5.4,6000,850,6000,1300,1000,5750
painting_9,sold,Mimic-Opus,4000,850,3750,1900,950,4000
painting_10,sold,Mimic-Opus,4800,950,3800,4550,800,4800
painting_11,sold,Mimic-Grok,4250,900,3750,4250,,1000
painting_12,sold,Mimic-GPT-5.4,1200,950,1200,650,800,1000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T4,4,950,9050,0.905,12,12,0,3595.833
Mimic-GPT-5.4,2,2800,7200,0.72,12,12,0,3595.833
Mimic-Grok,2,900,9100,0.91,12,12,0,3595.833
Mimic-Llama,2,1000,9000,0.9,12,12,0,3595.833
Mimic-Opus,2,1200,8800,0.88,12,12,0,3595.833
