Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,1350,500,600,1050,1150,1350
painting_2,sold,Mimic-Llama,1100,950,1000,1100,750,500
painting_3,sold,Mimic-Llama,1700,1100,900,1700,1600,850
painting_4,sold,Math-T3,1500,1500,800,850,1400,1000
painting_5,sold,Mimic-Opus,1300,1100,850,600,1300,1200
painting_6,sold,Mimic-Llama,1900,1100,1700,1900,1600,1300
painting_7,sold,Mimic-Grok,2300,2100,2300,900,1400,1600
painting_8,sold,Mimic-Grok,2600,2200,2600,900,1800,2500
painting_9,sold,Math-T3,3000,3000,1500,1600,2900,2600
painting_10,sold,Math-T3,3750,3750,550,2600,3500,1600
painting_11,sold,Mimic-Opus,4850,1500,1200,4100,4850,4600
painting_12,sold,Mimic-Pro,5250,1100,900,5000,3000,5250

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,3,1750,8250,0.825,12,12,0,2550.0
Mimic-Grok,2,5100,4900,0.49,12,12,0,2550.0
Mimic-Llama,3,5300,4700,0.47,12,12,0,2550.0
Mimic-Opus,2,3850,6150,0.615,12,12,0,2550.0
Mimic-Pro,2,3400,6600,0.66,12,12,0,2550.0
