Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Math-T5,1200,1200,900,450,750,1100
painting_2,sold,Mimic-Llama,1900,1800,950,550,1900,1600
painting_3,sold,Math-T5,1600,1600,950,550,800,1500
painting_4,sold,Mimic-Llama,2300,2000,1600,1300,2300,2100
painting_5,sold,Math-T5,1500,1500,1300,750,500,1400
painting_6,sold,Mimic-Llama,3550,3300,2150,1450,3550,2250
painting_7,sold,Math-T5,3500,3500,2600,1500,1600,3250
painting_8,sold,Mimic-GPT-5.4,3400,350,3400,2750,2250,3150
painting_9,sold,Mimic-Grok,5500,1900,3500,5500,1800,5250
painting_10,sold,Mimic-Opus,6250,300,5750,1500,2000,6250
painting_11,sold,Mimic-GPT-5.4,4750,,4750,4500,2100,3250
painting_12,sold,Mimic-Opus,2900,,1500,2800,1900,2900

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,4,2200,7800,0.78,12,12,0,3195.833
Mimic-GPT-5.4,2,1850,8150,0.815,12,12,0,3195.833
Mimic-Grok,1,4500,5500,0.55,12,12,0,3195.833
Mimic-Llama,3,2250,7750,0.775,12,12,0,3195.833
Mimic-Opus,2,850,9150,0.915,12,12,0,3195.833
