Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Mimic-Llama,1000,800,900,600,1000,950
painting_2,sold,Mimic-Opus,1000,850,950,450,900,1000
painting_3,sold,Mimic-Llama,1500,1000,1400,600,1500,250
painting_4,sold,Mimic-GPT-5.4,1600,1400,1600,1500,1000,600
painting_5,sold,Mimic-Grok,1600,1500,850,1600,800,1100
painting_6,sold,Math-T3,1450,1450,1250,400,1050,1350
painting_7,sold,Math-T3,1600,1600,1100,950,1500,1200
painting_8,sold,Mimic-Llama,1800,1200,1600,1300,1800,1700
painting_9,sold,Mimic-Opus,2500,2200,2400,700,1500,2500
painting_10,sold,Math-T3,4000,4000,3750,2200,2400,2000
painting_11,sold,Mimic-GPT-5.4,5000,2400,5000,4000,4750,1400
painting_12,sold,Mimic-Grok,6550,2750,3050,6550,4800,6300

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,3,2950,7050,0.705,12,12,0,2466.667
Mimic-GPT-5.4,2,3400,6600,0.66,12,12,0,2466.667
Mimic-Grok,2,1850,8150,0.815,12,12,0,2466.667
Mimic-Llama,3,5700,4300,0.43,12,12,0,2466.667
Mimic-Opus,2,6500,3500,0.35,12,12,0,2466.667
