Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2095.833

painting_1 | status=sold | winner=Llama | winning_bid=1000
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Grok RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Opus RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Pro PASS (before=350, leader_after=bidder_1)
  turn 8: GPT-5.4 PASS (before=350, leader_after=bidder_1)
  turn 9: Grok PASS (before=350, leader_after=bidder_1)
  turn 10: Llama RAISE to 400 (before=350, leader_after=bidder_5)
  turn 11: Opus RAISE to 450 (before=400, leader_after=bidder_1)
  turn 12: Llama RAISE to 500 (before=450, leader_after=bidder_5)
  turn 13: Opus RAISE to 550 (before=500, leader_after=bidder_1)
  turn 14: Llama RAISE to 600 (before=550, leader_after=bidder_5)
  turn 15: Opus RAISE to 650 (before=600, leader_after=bidder_1)
  turn 16: Llama RAISE to 700 (before=650, leader_after=bidder_5)
  turn 17: Opus RAISE to 750 (before=700, leader_after=bidder_1)
  turn 18: Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 19: Opus RAISE to 850 (before=800, leader_after=bidder_1)
  turn 20: Llama RAISE to 1000 (before=850, leader_after=bidder_5)
  turn 21: Opus PASS (before=1000, leader_after=bidder_5)

painting_2 | status=sold | winner=Llama | winning_bid=1800
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro PASS (before=100, leader_after=bidder_1)
  turn 3: GPT-5.4 RAISE to 150 (before=100, leader_after=bidder_3)
  turn 4: Grok PASS (before=150, leader_after=bidder_3)
  turn 5: Llama RAISE to 200 (before=150, leader_after=bidder_5)
  turn 6: Opus RAISE to 250 (before=200, leader_after=bidder_1)
  turn 7: GPT-5.4 RAISE to 300 (before=250, leader_after=bidder_3)
  turn 8: Llama RAISE to 500 (before=300, leader_after=bidder_5)
  turn 9: Opus RAISE to 550 (before=500, leader_after=bidder_1)
  turn 10: GPT-5.4 PASS (before=550, leader_after=bidder_1)
  turn 11: Llama RAISE to 800 (before=550, leader_after=bidder_5)
  turn 12: Opus RAISE to 850 (before=800, leader_after=bidder_1)
  turn 13: Llama RAISE to 900 (before=850, leader_after=bidder_5)
  turn 14: Opus RAISE to 950 (before=900, leader_after=bidder_1)
  turn 15: Llama RAISE to 1000 (before=950, leader_after=bidder_5)
  turn 16: Opus RAISE to 1100 (before=1000, leader_after=bidder_1)
  turn 17: Llama RAISE to 1200 (before=1100, leader_after=bidder_5)
  turn 18: Opus RAISE to 1300 (before=1200, leader_after=bidder_1)
  turn 19: Llama RAISE to 1400 (before=1300, leader_after=bidder_5)
  turn 20: Opus RAISE to 1500 (before=1400, leader_after=bidder_1)
  turn 21: Llama RAISE to 1800 (before=1500, leader_after=bidder_5)
  turn 22: Opus PASS (before=1800, leader_after=bidder_5)

painting_3 | status=sold | winner=Opus | winning_bid=400
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Grok PASS (before=200, leader_after=bidder_3)
  turn 5: Llama PASS (before=200, leader_after=bidder_3)
  turn 6: Opus RAISE to 250 (before=200, leader_after=bidder_1)
  turn 7: Pro RAISE to 300 (before=250, leader_after=bidder_2)
  turn 8: GPT-5.4 RAISE to 350 (before=300, leader_after=bidder_3)
  turn 9: Opus RAISE to 400 (before=350, leader_after=bidder_1)
  turn 10: Pro PASS (before=400, leader_after=bidder_1)
