Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Opus,max_bid_Pro
painting_1,sold,Llama,1000,200,250,1000,850,150
painting_2,sold,Llama,1800,300,,1800,1500,
painting_3,sold,Opus,400,350,,,400,300
painting_4,sold,Opus,750,700,200,,750,
painting_5,sold,GPT-5.4,850,850,500,800,100,
painting_6,sold,GPT-5.4,850,850,800,250,300,
painting_7,sold,Opus,550,,500,250,550,
painting_8,sold,Opus,350,,,300,350,150
painting_9,sold,GPT-5.4,550,550,500,,100,
painting_10,sold,Grok,7901,,7901,,200,
painting_11,sold,GPT-5.4,2199,2199,2099,,100,
painting_12,sold,Opus,7950,,,8200,7950,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,4,5551,4449,0.445,12,12,0,2095.833
Grok,1,2099,7901,0.79,12,12,0,2095.833
Llama,2,7200,2800,0.28,12,12,0,2095.833
Opus,5,0,10000,1.0,12,12,0,2095.833
Pro,0,10000,0,0.0,12,12,0,2095.833
