Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Llama,1100,800,200,1100,,950
painting_2,sold,Mimic-Pro,1100,1000,950,900,750,1100
painting_3,sold,Mimic-Opus,1250,1150,900,800,1250,700
painting_4,sold,Mimic-Opus,1400,900,1300,1200,1400,1100
painting_5,sold,Mimic-Llama,1600,1500,1400,1600,300,900
painting_6,sold,Math-T3,1500,1500,1100,1000,800,1400
painting_7,sold,Mimic-Grok,2800,1600,2800,2700,1000,1800
painting_8,sold,Math-T3,1900,1900,1000,1600,850,1800
painting_9,sold,Mimic-Llama,3100,1200,1800,3100,1300,2900
painting_10,sold,Mimic-Pro,4500,4250,2000,200,2400,4500
painting_11,sold,Math-T3,5500,5500,5250,3250,4000,4250
painting_12,sold,Mimic-Opus,4250,850,2300,4000,4250,1600

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,3,1100,8900,0.89,12,12,0,2500.0
Mimic-Grok,1,7200,2800,0.28,12,12,0,2500.0
Mimic-Llama,3,4200,5800,0.58,12,12,0,2500.0
Mimic-Opus,3,3100,6900,0.69,12,12,0,2500.0
Mimic-Pro,2,4400,5600,0.56,12,12,0,2500.0
