Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,1250,750,500,1050,600,1250
painting_2,sold,Mimic-Llama,1600,850,900,1600,1500,1000
painting_3,sold,Mimic-Opus,1450,800,1250,1150,1450,1050
painting_4,sold,Mimic-Llama,1300,1100,800,1300,850,950
painting_5,sold,Math-T2,1300,1300,1100,950,1200,850
painting_6,sold,Mimic-Llama,1850,900,1750,1850,1050,
painting_7,sold,Mimic-Opus,1600,1400,1500,1300,1600,1200
painting_8,sold,Mimic-Pro,2400,1600,1700,2300,900,2400
painting_9,sold,Mimic-Grok,3500,2200,3500,2100,3250,2500
painting_10,sold,Math-T2,2500,2500,700,2200,2400,2100
painting_11,sold,Mimic-Pro,4750,2800,4500,2700,3500,4750
painting_12,sold,Mimic-Opus,6250,6000,2900,5250,6250,1600

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,2,6200,3800,0.38,12,12,0,2479.167
Mimic-Grok,1,6500,3500,0.35,12,12,0,2479.167
Mimic-Llama,3,5250,4750,0.475,12,12,0,2479.167
Mimic-Opus,3,700,9300,0.93,12,12,0,2479.167
Mimic-Pro,3,1600,8400,0.84,12,12,0,2479.167
