Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,900,700,850,800,600,900
painting_2,sold,Mimic-Grok,1250,750,1050,1250,950,1150
painting_3,sold,Mimic-Opus,1550,750,1450,850,1550,800
painting_4,sold,Math-T2,1100,1100,1000,900,650,800
painting_5,sold,Mimic-GPT-5.4,1100,950,1100,800,850,1000
painting_6,sold,Mimic-Pro,1500,1200,1100,1400,1000,1500
painting_7,sold,Mimic-GPT-5.4,1800,1500,1800,1700,1300,1600
painting_8,sold,Mimic-Grok,1900,1700,1600,1900,1400,1200
painting_9,sold,Mimic-GPT-5.4,2300,2000,2300,1000,2200,2100
painting_10,sold,Math-T2,2800,2800,1500,850,2700,2200
painting_11,sold,Mimic-Pro,3750,2900,2300,2600,3500,3750
painting_12,sold,Math-T2,2800,2800,2700,1400,1500,1300

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,3,3300,6700,0.67,12,12,0,1895.833
Mimic-GPT-5.4,3,4800,5200,0.52,12,12,0,1895.833
Mimic-Grok,2,6850,3150,0.315,12,12,0,1895.833
Mimic-Opus,1,8450,1550,0.155,12,12,0,1895.833
Mimic-Pro,3,3850,6150,0.615,12,12,0,1895.833
