Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T1,1450,1450,1250,550,900,1350
painting_2,sold,Math-T1,1850,1850,1650,1150,1450,1750
painting_3,sold,Math-T1,1800,1800,900,600,1700,1500
painting_4,sold,Math-T1,2150,2150,1550,1750,1450,2050
painting_5,sold,Math-T1,2400,2400,1800,2300,1700,2100
painting_6,sold,Mimic-Grok,2500,350,1700,2500,2300,1900
painting_7,sold,Mimic-Opus,3450,,3200,1500,3450,1900
painting_8,sold,Mimic-GPT-5.4,2700,350,2700,1700,2100,2600
painting_9,sold,Mimic-Grok,2000,300,1900,2000,1100,
painting_10,sold,Mimic-GPT-5.4,4350,350,4350,1000,2600,3850
painting_11,sold,Mimic-Pro,3500,350,2800,900,3250,3500
painting_12,sold,Mimic-Opus,4000,300,2700,2400,4000,3750

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,5,350,9650,0.965,12,12,0,2679.167
Mimic-GPT-5.4,2,2950,7050,0.705,12,12,0,2679.167
Mimic-Grok,2,5500,4500,0.45,12,12,0,2679.167
Mimic-Opus,2,2550,7450,0.745,12,12,0,2679.167
Mimic-Pro,1,6500,3500,0.35,12,12,0,2679.167
