Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Math-T4,max_bid_Pro
painting_1,sold,Math-T4,1600,1100,650,1000,1600,1500
painting_2,sold,Math-T4,2200,850,650,2100,2200,1500
painting_3,sold,Math-T4,1700,850,900,1600,1700,1400
painting_4,sold,Math-T4,2100,850,900,1200,2100,2000
painting_5,sold,Math-T4,1800,1200,1300,1700,1800,1000
painting_6,sold,Llama,1700,1500,1200,1700,450,1300
painting_7,sold,Pro,1900,1800,1500,1700,450,1900
painting_8,sold,Llama,2000,1800,1900,2000,450,1600
painting_9,sold,GPT-5.4,2700,2700,2600,1700,450,2000
painting_10,sold,Grok,2700,2400,2700,2000,450,2600
painting_11,sold,Llama,4000,3750,150,4000,600,1400
painting_12,sold,Pro,8100,7300,,,,8100

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,1,7300,2700,0.27,12,12,0,2708.333
Grok,1,7300,2700,0.27,12,12,0,2708.333
Llama,3,2300,7700,0.77,12,12,0,2708.333
Math-T4,5,600,9400,0.94,12,12,0,2708.333
Pro,2,0,10000,1.0,12,12,0,2708.333
