Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T4,1700,1700,500,1600,550,700
painting_2,sold,Math-T4,2400,2400,650,2300,1400,1200
painting_3,sold,Mimic-Llama,4500,4250,1400,4500,2000,1700
painting_4,sold,Mimic-Llama,4750,4250,1500,4750,2600,2300
painting_5,sold,Math-T4,2400,2400,1600,500,1700,2300
painting_6,sold,Math-T4,2600,2600,2200,750,2500,2000
painting_7,sold,Mimic-Opus,2600,850,2400,500,2600,2000
painting_8,sold,Mimic-Grok,4500,850,4500,750,4250,3500
painting_9,sold,Mimic-Pro,900,800,850,700,550,900
painting_10,sold,Mimic-Opus,4000,900,1500,750,4000,3500
painting_11,sold,Mimic-Pro,5800,850,5300,750,2050,5800
painting_12,sold,Mimic-Opus,3250,850,2700,750,3250,3000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T4,4,900,9100,0.91,12,12,0,3283.333
Mimic-Grok,1,5500,4500,0.45,12,12,0,3283.333
Mimic-Llama,2,750,9250,0.925,12,12,0,3283.333
Mimic-Opus,3,150,9850,0.985,12,12,0,3283.333
Mimic-Pro,2,3300,6700,0.67,12,12,0,3283.333
