Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Opus,1200,900,350,1100,1200,850
painting_2,sold,Mimic-Llama,800,550,750,800,350,500
painting_3,sold,Mimic-Llama,1500,850,,1500,900,1400
painting_4,sold,Mimic-Pro,1300,1200,800,850,750,1300
painting_5,sold,Mimic-Grok,1400,1200,1400,1000,1300,1100
painting_6,sold,Mimic-Llama,2100,1800,1000,2100,950,1200
painting_7,sold,Mimic-GPT-5.4,1800,1800,1100,1300,1700,1400
painting_8,sold,Mimic-GPT-5.4,1850,1850,1750,1350,1650,1450
painting_9,sold,Mimic-Grok,2300,1800,2300,1500,2200,2100
painting_10,sold,Mimic-Pro,2200,2000,1700,1800,2100,2200
painting_11,sold,Mimic-Opus,5050,2950,2150,4300,5050,3800
painting_12,sold,Mimic-Pro,3000,2700,2400,2900,2800,3000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Mimic-GPT-5.4,2,6350,3650,0.365,12,12,0,2041.667
Mimic-Grok,2,6300,3700,0.37,12,12,0,2041.667
Mimic-Llama,3,5600,4400,0.44,12,12,0,2041.667
Mimic-Opus,2,3750,6250,0.625,12,12,0,2041.667
Mimic-Pro,3,3500,6500,0.65,12,12,0,2041.667
