Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,1400,850,350,1300,1200,1400
painting_2,sold,Mimic-Llama,1000,950,650,1000,800,700
painting_3,sold,Mimic-Llama,1300,1100,1000,1300,850,750
painting_4,sold,Mimic-GPT-5.4,1550,1550,,1150,1350,1250
painting_5,sold,Mimic-Opus,1500,1300,950,850,1500,1000
painting_6,sold,Mimic-Llama,2200,1300,2100,2200,1200,1100
painting_7,sold,Mimic-Llama,1750,1350,1650,1750,1250,1050
painting_8,sold,Mimic-Grok,2250,2050,2250,1250,1550,1950
painting_9,sold,Mimic-GPT-5.4,2400,2400,2000,750,2200,1600
painting_10,sold,Mimic-Opus,3250,2800,3000,900,3250,2600
painting_11,sold,Mimic-GPT-5.4,3750,3750,3500,1800,950,2800
painting_12,sold,Mimic-Opus,4500,2000,,2500,4500,4250

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Mimic-GPT-5.4,3,2300,7700,0.77,12,12,0,2237.5
Mimic-Grok,1,7750,2250,0.225,12,12,0,2237.5
Mimic-Llama,4,3750,6250,0.625,12,12,0,2237.5
Mimic-Opus,3,750,9250,0.925,12,12,0,2237.5
Mimic-Pro,1,8600,1400,0.14,12,12,0,2237.5
