Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T4,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Math-T4,1300,1300,,200,1200,750
painting_2,sold,Math-T4,2650,2650,1350,1150,2550,1850
painting_3,sold,Math-T4,4250,4250,1000,1500,4000,1800
painting_4,sold,Mimic-Llama,1800,1700,950,1600,1800,1400
painting_5,sold,Mimic-Llama,2450,1650,1550,1450,2450,2350
painting_6,sold,Mimic-Llama,2500,1600,2100,2000,2500,2400
painting_7,sold,Mimic-GPT-5.4,2600,1800,2600,2200,2400,2500
painting_8,sold,Mimic-GPT-5.4,3550,1350,3550,2250,2050,3050
painting_9,sold,Mimic-Grok,4750,1700,2200,4750,3000,4250
painting_10,sold,Mimic-Pro,4100,1300,3600,1800,3100,4100
painting_11,sold,Mimic-Pro,5350,1400,3100,4850,2700,5350
painting_12,sold,Mimic-Grok,3750,1500,3000,3750,3250,450

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T4,3,1800,8200,0.82,12,12,0,3254.167
Mimic-GPT-5.4,2,3850,6150,0.615,12,12,0,3254.167
Mimic-Grok,2,1500,8500,0.85,12,12,0,3254.167
Mimic-Llama,3,3250,6750,0.675,12,12,0,3254.167
Mimic-Pro,2,550,9450,0.945,12,12,0,3254.167
