Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Math-T5,1300,1300,1200,1000,950,1100
painting_2,sold,Mimic-Llama,2100,2000,1200,1700,2100,550
painting_3,sold,Math-T5,1500,1500,1400,800,1000,1100
painting_4,sold,Math-T5,2050,2050,1250,1950,1850,500
painting_5,sold,Mimic-Llama,2500,2300,1300,2000,2500,1200
painting_6,sold,Mimic-Llama,4500,4000,2400,2100,4500,3250
painting_7,sold,Math-T5,4000,4000,2600,3250,750,3750
painting_8,sold,Mimic-GPT-5.4,5050,,5050,750,,4550
painting_9,sold,Mimic-Grok,6250,,4250,6250,900,6000
painting_10,sold,Mimic-Opus,5500,,4750,1200,700,5500
painting_11,sold,Mimic-GPT-5.4,4750,,4750,3500,900,4500
painting_12,sold,Mimic-Opus,1300,,,1100,800,1300

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,4,1150,8850,0.885,12,12,0,3400.0
Mimic-GPT-5.4,2,200,9800,0.98,12,12,0,3400.0
Mimic-Grok,1,3750,6250,0.625,12,12,0,3400.0
Mimic-Llama,3,900,9100,0.91,12,12,0,3400.0
Mimic-Opus,2,3200,6800,0.68,12,12,0,3400.0
