Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Math-T1,1700,1700,1300,1600,1000,1200
painting_2,sold,Math-T1,2900,2900,900,1500,2800,1300
painting_3,sold,Math-T1,5000,5000,900,500,4750,1100
painting_4,sold,Mimic-Llama,1600,200,1200,1300,1600,1500
painting_5,sold,Mimic-Llama,2300,250,1500,900,2300,2200
painting_6,sold,Mimic-Llama,3600,250,2300,1500,3600,3350
painting_7,sold,Mimic-GPT-5.4,3800,250,3800,2850,2150,3300
painting_8,sold,Mimic-Opus,3350,400,2400,3100,2200,3350
painting_9,sold,Mimic-Grok,4600,200,3850,4600,2200,4350
painting_10,sold,Mimic-GPT-5.4,5050,200,5050,4550,2250,4800
painting_11,sold,Mimic-Opus,2600,200,900,950,2500,2600
painting_12,sold,Mimic-Grok,4000,200,950,4000,2400,3750

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,3,400,9600,0.96,12,12,0,3375.0
Mimic-GPT-5.4,2,1150,8850,0.885,12,12,0,3375.0
Mimic-Grok,2,1400,8600,0.86,12,12,0,3375.0
Mimic-Llama,3,2500,7500,0.75,12,12,0,3375.0
Mimic-Opus,2,4050,5950,0.595,12,12,0,3375.0
