Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,1200,850,900,800,1000,1200
painting_2,sold,Mimic-Llama,1200,700,1000,1200,1100,850
painting_3,sold,Mimic-Llama,1550,900,950,1550,1450,800
painting_4,sold,Mimic-Pro,1500,1100,1200,1000,1300,1500
painting_5,sold,Mimic-Llama,1600,1300,1000,1600,1400,550
painting_6,sold,Mimic-Llama,2400,1100,2200,2400,1800,950
painting_7,sold,Mimic-Opus,2950,1550,2750,650,2950,900
painting_8,sold,Mimic-GPT-5.4,2200,2100,2200,450,1100,750
painting_9,sold,Mimic-GPT-5.4,2800,2400,2800,1700,2200,2600
painting_10,sold,Math-T2,2850,2850,2750,1950,2250,550
painting_11,sold,Mimic-Opus,3750,3250,3500,1600,3750,2300
painting_12,sold,Math-T2,5000,5000,4750,2400,2900,3750

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,2,2150,7850,0.785,12,12,0,2416.667
Mimic-GPT-5.4,2,5000,5000,0.5,12,12,0,2416.667
Mimic-Llama,4,3250,6750,0.675,12,12,0,2416.667
Mimic-Opus,2,3300,6700,0.67,12,12,0,2416.667
Mimic-Pro,2,7300,2700,0.27,12,12,0,2416.667
