Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Opus,1200,650,1100,800,1200,1000
painting_2,sold,Mimic-Pro,1000,950,900,650,450,1000
painting_3,sold,Mimic-Opus,1300,1100,900,400,1300,850
painting_4,sold,Math-T3,1400,1400,1300,800,200,750
painting_5,sold,Mimic-GPT-5.4,1300,1200,1300,1000,450,950
painting_6,sold,Mimic-Grok,1800,1300,1200,1800,800,1700
painting_7,sold,Math-T3,1800,1800,1700,600,750,1600
painting_8,sold,Mimic-Pro,1950,1250,1550,1450,1750,1950
painting_9,sold,Mimic-GPT-5.4,2000,1800,2000,1900,1700,1400
painting_10,sold,Mimic-Pro,3750,3500,2500,1900,2100,3750
painting_11,sold,Math-T3,2900,2900,2800,400,1700,2200
painting_12,sold,Mimic-Grok,5550,3050,1750,5550,5300,2550

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,3,3900,6100,0.61,12,12,0,2162.5
Mimic-GPT-5.4,2,6700,3300,0.33,12,12,0,2162.5
Mimic-Grok,2,2650,7350,0.735,12,12,0,2162.5
Mimic-Opus,2,7500,2500,0.25,12,12,0,2162.5
Mimic-Pro,3,3300,6700,0.67,12,12,0,2162.5
