Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T5,1600,1600,1000,1500,300,950
painting_2,sold,Mimic-Llama,2000,1800,1100,2000,1200,1500
painting_3,sold,Math-T5,1900,1900,1800,950,400,1700
painting_4,sold,Mimic-Opus,2250,1950,1150,2150,2250,1750
painting_5,sold,Mimic-Llama,2900,2800,1900,2900,1400,2500
painting_6,sold,Math-T5,2600,2600,2200,2500,1300,2100
painting_7,sold,Math-T5,3450,3450,2800,3200,2200,550
painting_8,sold,Mimic-Llama,4550,,4300,4550,3050,2750
painting_9,sold,Mimic-GPT-5.4,5350,,5350,500,3100,4850
painting_10,sold,Mimic-Pro,5350,,4100,550,5100,5350
painting_11,sold,Mimic-Opus,4900,,4100,450,4900,4650
painting_12,sold,Mimic-Pro,4650,,4250,400,2600,4650

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,4,450,9550,0.955,12,12,0,3458.333
Mimic-GPT-5.4,1,4650,5350,0.535,12,12,0,3458.333
Mimic-Llama,3,550,9450,0.945,12,12,0,3458.333
Mimic-Opus,2,2850,7150,0.715,12,12,0,3458.333
Mimic-Pro,2,0,10000,1.0,12,12,0,3458.333
