Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Math-T1,1650,1650,750,400,1150,1550
painting_2,sold,Math-T1,3250,3250,950,750,3000,1000
painting_3,sold,Math-T1,4500,4500,1800,1400,4250,1900
painting_4,sold,Mimic-Llama,2050,400,1950,1150,2050,1450
painting_5,sold,Mimic-Llama,2400,400,1400,1700,2400,2300
painting_6,sold,Mimic-Llama,2900,550,2400,2100,2900,2800
painting_7,sold,Mimic-GPT-5.4,3400,250,3400,2750,2450,3150
painting_8,sold,Mimic-Opus,5600,550,3100,5100,1400,5600
painting_9,sold,Mimic-GPT-5.4,5000,550,5000,4750,2400,2700
painting_10,sold,Mimic-Grok,3150,500,1250,3150,2550,2950
painting_11,sold,Mimic-Grok,4500,550,1600,4500,2500,4250
painting_12,sold,Mimic-Opus,2600,600,1400,2200,2500,2600

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,3,600,9400,0.94,12,12,0,3416.667
Mimic-GPT-5.4,2,1600,8400,0.84,12,12,0,3416.667
Mimic-Grok,2,2350,7650,0.765,12,12,0,3416.667
Mimic-Llama,3,2650,7350,0.735,12,12,0,3416.667
Mimic-Opus,2,1800,8200,0.82,12,12,0,3416.667
