Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Math-T1,950,950,650,500,,900
painting_2,sold,Math-T1,1750,1750,1050,1250,1650,1150
painting_3,sold,Math-T1,6100,6100,1000,400,5850,1100
painting_4,sold,Mimic-Llama,1900,950,1800,1200,1900,1500
painting_5,sold,Mimic-Llama,2400,1100,2000,900,2400,2300
painting_6,sold,Mimic-Llama,2900,1000,2000,2800,2900,2500
painting_7,sold,Mimic-GPT-5.4,2600,1000,2600,1800,2500,1700
painting_8,sold,Mimic-GPT-5.4,3750,1000,3750,1400,2800,3250
painting_9,sold,Mimic-Grok,4750,1100,2800,4750,2700,4500
painting_10,sold,Mimic-Pro,3100,950,2900,2700,2800,3100
painting_11,sold,Mimic-Pro,5600,1000,3600,5100,2600,5600
painting_12,sold,Mimic-Grok,3750,1200,3500,3750,2600,750

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,3,1200,8800,0.88,12,12,0,3295.833
Mimic-GPT-5.4,2,3650,6350,0.635,12,12,0,3295.833
Mimic-Grok,2,1500,8500,0.85,12,12,0,3295.833
Mimic-Llama,3,2800,7200,0.72,12,12,0,3295.833
Mimic-Pro,2,1300,8700,0.87,12,12,0,3295.833
