Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Math-T5,1300,1300,950,1000,1200,850
painting_2,sold,Mimic-Llama,900,,850,650,900,150
painting_3,sold,Mimic-Opus,2050,1850,1550,700,1350,2050
painting_4,sold,Math-T5,1500,1500,1200,1400,1100,600
painting_5,sold,Math-T5,2600,2600,1200,1400,2500,800
painting_6,sold,Mimic-Llama,3250,3000,2000,1700,3250,1200
painting_7,sold,Mimic-Llama,4850,3600,2500,4600,4850,2300
painting_8,sold,Math-T5,3750,3750,3500,400,1000,2800
painting_9,sold,Mimic-Grok,6500,150,6000,6500,900,4000
painting_10,sold,Mimic-GPT-5.4,7500,,7500,100,900,7250
painting_11,sold,Mimic-Opus,2750,,2350,2650,900,2750
painting_12,sold,Mimic-Opus,2600,,2400,600,900,2600

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,4,850,9150,0.915,12,12,0,3295.833
Mimic-GPT-5.4,1,2500,7500,0.75,12,12,0,3295.833
Mimic-Grok,1,3500,6500,0.65,12,12,0,3295.833
Mimic-Llama,3,1000,9000,0.9,12,12,0,3295.833
Mimic-Opus,3,2600,7400,0.74,12,12,0,3295.833
