Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Opus,1300,750,1000,1200,1300,900
painting_2,sold,Mimic-Llama,1550,1350,1050,1550,750,1150
painting_3,sold,Mimic-GPT-5.4,1150,1150,550,1050,650,950
painting_4,sold,Mimic-Llama,1400,1000,1300,1400,750,850
painting_5,sold,Mimic-Pro,1150,1050,800,700,900,1150
painting_6,sold,Mimic-Llama,2100,1600,2000,2100,950,1000
painting_7,sold,Mimic-Grok,2000,1500,2000,1400,1800,1300
painting_8,sold,Mimic-Pro,2100,1900,1600,950,1700,2100
painting_9,sold,Mimic-GPT-5.4,2350,2350,1850,1550,2250,1450
painting_10,sold,Mimic-Grok,2800,2200,2800,2100,2500,1900
painting_11,sold,Mimic-Pro,5100,3850,200,3350,4600,5100
painting_12,sold,Mimic-Opus,4750,4500,850,4250,4750,950

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Mimic-GPT-5.4,2,6500,3500,0.35,12,12,0,2312.5
Mimic-Grok,2,5200,4800,0.48,12,12,0,2312.5
Mimic-Llama,3,4950,5050,0.505,12,12,0,2312.5
Mimic-Opus,2,3950,6050,0.605,12,12,0,2312.5
Mimic-Pro,3,1650,8350,0.835,12,12,0,2312.5
