Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T5,1500,1500,450,1400,900,1000
painting_2,sold,Mimic-Llama,1800,1700,1100,1800,1400,800
painting_3,sold,Math-T5,1650,1650,500,1050,1550,1350
painting_4,sold,Mimic-Llama,2600,1500,2400,2600,2300,1600
painting_5,sold,Math-T5,2200,2200,,1100,2100,100
painting_6,sold,Mimic-Llama,3550,3050,1950,3550,2750,1850
painting_7,sold,Math-T5,3750,3750,1700,450,3500,1600
painting_8,sold,Mimic-Opus,2700,,2600,1700,2700,2500
painting_9,sold,Mimic-Pro,2550,,400,1850,2450,2550
painting_10,sold,Mimic-Grok,4250,,4250,2000,3750,4000
painting_11,sold,Mimic-Opus,6550,,2350,2050,6550,6300
painting_12,sold,Mimic-Pro,2100,,550,2000,650,2100

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,4,900,9100,0.91,12,12,0,2933.333
Mimic-Grok,1,5750,4250,0.425,12,12,0,2933.333
Mimic-Llama,3,2050,7950,0.795,12,12,0,2933.333
Mimic-Opus,2,750,9250,0.925,12,12,0,2933.333
Mimic-Pro,2,5350,4650,0.465,12,12,0,2933.333
