Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T4,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T4,1300,1300,900,1200,800,1000
painting_2,sold,Math-T4,3500,3500,1200,3250,1500,1300
painting_3,sold,Mimic-Llama,4350,3850,900,4350,1200,1000
painting_4,sold,Math-T4,3250,3250,1400,3000,2100,1600
painting_5,sold,Mimic-Llama,2600,1300,2300,2600,2400,1900
painting_6,sold,Mimic-Opus,2850,1750,2750,2650,2850,2150
painting_7,sold,Mimic-GPT-5.4,3250,1400,3250,2700,2100,3000
painting_8,sold,Mimic-GPT-5.4,3100,1700,3100,2900,2200,1200
painting_9,sold,Mimic-Pro,3500,1900,3000,2900,2500,3500
painting_10,sold,Mimic-Opus,4500,1800,3500,2600,4500,4250
painting_11,sold,Mimic-Pro,3600,1500,3350,2800,2600,3600
painting_12,sold,Mimic-GPT-5.4,3250,1900,3250,3000,2500,2400

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T4,3,1950,8050,0.805,12,12,0,3254.167
Mimic-GPT-5.4,3,400,9600,0.96,12,12,0,3254.167
Mimic-Llama,2,3050,6950,0.695,12,12,0,3254.167
Mimic-Opus,2,2650,7350,0.735,12,12,0,3254.167
Mimic-Pro,2,2900,7100,0.71,12,12,0,3254.167
