Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Mimic-Llama,900,750,800,200,900,700
painting_2,sold,Math-T3,1000,1000,800,950,850,900
painting_3,sold,Mimic-Llama,2000,850,1300,1200,2000,1900
painting_4,sold,Mimic-Opus,1500,800,1400,1100,950,1500
painting_5,sold,Mimic-GPT-5.4,1300,1100,1300,750,650,700
painting_6,sold,Mimic-Llama,1900,1500,1600,950,1900,1400
painting_7,sold,Mimic-Grok,2300,2200,1800,2300,1300,1400
painting_8,sold,Math-T3,2000,2000,1700,1900,1300,1800
painting_9,sold,Mimic-Opus,2900,2200,2800,2700,2400,2900
painting_10,sold,Math-T3,4000,4000,3750,,2100,1800
painting_11,sold,Mimic-GPT-5.4,4500,2300,4500,4250,4000,2000
painting_12,sold,Mimic-Grok,5000,2600,3250,5000,4500,4000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,3,3000,7000,0.7,12,12,0,2441.667
Mimic-GPT-5.4,2,4200,5800,0.58,12,12,0,2441.667
Mimic-Grok,2,2700,7300,0.73,12,12,0,2441.667
Mimic-Llama,3,5200,4800,0.48,12,12,0,2441.667
Mimic-Opus,2,5600,4400,0.44,12,12,0,2441.667
