Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Llama,950,900,550,950,700,750
painting_2,sold,Mimic-Opus,1700,950,800,1000,1700,1600
painting_3,sold,Mimic-Llama,1750,900,1450,1750,450,1550
painting_4,sold,Mimic-Grok,1700,1000,1700,1200,850,1600
painting_5,sold,Mimic-GPT-5.4,1250,1250,550,850,600,1150
painting_6,sold,Mimic-Llama,2300,1600,1800,2300,1100,2200
painting_7,sold,Mimic-GPT-5.4,1600,1600,1300,1200,1400,1500
painting_8,sold,Mimic-Llama,2800,1000,1900,2800,2100,2600
painting_9,sold,Mimic-GPT-5.4,1950,1950,1050,950,1750,850
painting_10,sold,Mimic-Pro,3600,1900,2400,700,3350,3600
painting_11,sold,Mimic-Opus,4150,2650,3900,2150,4150,3150
painting_12,sold,Mimic-Pro,4850,4350,4600,1900,2700,4850

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Mimic-GPT-5.4,3,5200,4800,0.48,12,12,0,2383.333
Mimic-Grok,1,8300,1700,0.17,12,12,0,2383.333
Mimic-Llama,4,2200,7800,0.78,12,12,0,2383.333
Mimic-Opus,2,4150,5850,0.585,12,12,0,2383.333
Mimic-Pro,2,1550,8450,0.845,12,12,0,2383.333
