Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Opus,max_bid_Pro
painting_1,sold,Llama,1000,450,350,1000,800,250
painting_2,sold,Opus,1100,600,100,1000,1100,
painting_3,sold,GPT-5.4,250,250,200,,,
painting_4,sold,Grok,300,200,300,,150,250
painting_5,sold,GPT-5.4,650,650,250,,600,
painting_6,sold,Opus,1300,1200,100,1000,1300,
painting_7,sold,Llama,250,150,100,250,,200
painting_8,sold,GPT-5.4,500,500,100,,150,450
painting_9,sold,GPT-5.4,800,800,400,250,750,
painting_10,sold,GPT-5.4,1400,1400,600,500,1300,
painting_11,sold,Grok,1500,600,1500,250,1100,
painting_12,sold,Llama,7851,,7601,7851,,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,5,6400,3600,0.36,12,12,0,1408.417
Grok,2,8200,1800,0.18,12,12,0,1408.417
Llama,3,899,9101,0.91,12,12,0,1408.417
Opus,2,7600,2400,0.24,12,12,0,1408.417
Pro,0,10000,0,0.0,12,12,0,1408.417
