Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Mimic-Llama,850,600,650,350,850,750
painting_2,sold,Mimic-Grok,1300,700,1000,1300,900,1200
painting_3,sold,Mimic-Llama,1700,850,1500,300,1700,1300
painting_4,sold,Mimic-Opus,1600,1000,1400,450,950,1600
painting_5,sold,Mimic-Llama,1600,1100,1500,1000,1600,900
painting_6,sold,Mimic-GPT-5.4,1550,1150,1550,850,800,1450
painting_7,sold,Mimic-Grok,1900,1600,1700,1900,1000,1400
painting_8,sold,Mimic-Opus,2200,1800,2000,350,1400,2200
painting_9,sold,Math-T2,2400,2400,2000,450,2300,900
painting_10,sold,Mimic-GPT-5.4,4050,2650,4050,1850,3550,1150
painting_11,sold,Mimic-Llama,3750,3500,2900,3250,3750,2000
painting_12,sold,Math-T2,5100,5100,2900,3600,2100,4850

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,2,2500,7500,0.75,12,12,0,2333.333
Mimic-GPT-5.4,2,4400,5600,0.56,12,12,0,2333.333
Mimic-Grok,2,6800,3200,0.32,12,12,0,2333.333
Mimic-Llama,4,2100,7900,0.79,12,12,0,2333.333
Mimic-Opus,2,6200,3800,0.38,12,12,0,2333.333
