Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Llama,1100,750,950,1100,800,1000
painting_2,sold,Mimic-Opus,1000,800,950,650,1000,900
painting_3,sold,Mimic-Llama,1250,750,1050,1250,800,1150
painting_4,sold,Mimic-Pro,1700,800,1100,1500,1600,1700
painting_5,sold,Mimic-GPT-5.4,1300,1100,1300,750,900,1200
painting_6,sold,Mimic-Opus,1550,950,1450,1350,1550,1150
painting_7,sold,Mimic-Llama,2100,1400,1900,2100,950,1500
painting_8,sold,Mimic-Llama,2600,1900,2500,2600,2000,1600
painting_9,sold,Mimic-GPT-5.4,2600,2400,2600,1500,1300,1800
painting_10,sold,Math-T2,2300,2300,1600,1500,1900,2200
painting_11,sold,Math-T2,3000,3000,2900,1700,2800,2200
painting_12,sold,Mimic-Pro,5000,4000,4750,1800,2100,5000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,2,4700,5300,0.53,12,12,0,2125.0
Mimic-GPT-5.4,2,6100,3900,0.39,12,12,0,2125.0
Mimic-Llama,4,2950,7050,0.705,12,12,0,2125.0
Mimic-Opus,2,7450,2550,0.255,12,12,0,2125.0
Mimic-Pro,2,3300,6700,0.67,12,12,0,2125.0
