Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T1,1500,1500,1400,1300,1200,1000
painting_2,sold,Math-T1,3000,3000,1100,2900,950,1600
painting_3,sold,Math-T1,3350,3350,1100,3100,1400,1700
painting_4,sold,Mimic-Llama,2600,1800,2500,2600,1400,1700
painting_5,sold,Mimic-Llama,2250,2050,1750,2250,2150,1950
painting_6,sold,Mimic-Llama,4350,2000,3350,4350,4100,1900
painting_7,sold,Mimic-Opus,4550,1950,4300,800,4550,2350
painting_8,sold,Mimic-GPT-5.4,3850,1800,3850,700,2300,3600
painting_9,sold,Mimic-Pro,4850,2000,4600,800,2100,4850
painting_10,sold,Mimic-GPT-5.4,2700,1900,2700,550,2600,1800
painting_11,sold,Mimic-Opus,3550,1850,3300,600,3550,2950
painting_12,sold,Mimic-Pro,3600,1800,3100,800,1900,3600

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,3,2150,7850,0.785,12,12,0,3345.833
Mimic-GPT-5.4,2,3450,6550,0.655,12,12,0,3345.833
Mimic-Llama,3,800,9200,0.92,12,12,0,3345.833
Mimic-Opus,2,1900,8100,0.81,12,12,0,3345.833
Mimic-Pro,2,1550,8450,0.845,12,12,0,3345.833
