Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T1,1500,1500,850,1400,650,950
painting_2,sold,Math-T1,2300,2300,950,2200,1100,1500
painting_3,sold,Mimic-Llama,6000,5500,1400,6000,1600,1200
painting_4,sold,Math-T1,2900,2900,1700,1500,2800,2000
painting_5,sold,Mimic-Opus,4000,3000,2000,3750,4000,1800
painting_6,sold,Mimic-Llama,3500,3000,2900,3500,2000,3250
painting_7,sold,Mimic-GPT-5.4,3500,3250,3500,500,1500,2700
painting_8,sold,Mimic-Pro,4000,2800,3750,300,2500,4000
painting_9,sold,Mimic-Pro,5000,2800,3250,500,4750,5000
painting_10,sold,Mimic-GPT-5.4,6300,3300,6300,450,5800,850
painting_11,sold,Mimic-Opus,3500,3250,,500,3500,1000
painting_12,sold,Math-T1,2500,2500,,500,2400,1000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,4,800,9200,0.92,12,12,0,3750.0
Mimic-GPT-5.4,2,200,9800,0.98,12,12,0,3750.0
Mimic-Llama,2,500,9500,0.95,12,12,0,3750.0
Mimic-Opus,2,2500,7500,0.75,12,12,0,3750.0
Mimic-Pro,2,1000,9000,0.9,12,12,0,3750.0
