Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Opus,max_bid_Pro
painting_1,sold,Llama,1200,,100,1200,1100,
painting_2,sold,Opus,950,600,100,900,950,
painting_3,sold,GPT-5.4,150,150,100,,,
painting_4,sold,GPT-5.4,700,700,100,,650,
painting_5,sold,GPT-5.4,900,900,100,700,850,250
painting_6,sold,Opus,550,500,300,250,550,
painting_7,sold,Llama,300,,100,300,,250
painting_8,sold,Grok,200,,200,,,150
painting_9,sold,Grok,8451,400,8451,250,350,
painting_10,sold,Opus,800,750,100,250,800,
painting_11,sold,GPT-5.4,7700,7700,1349,250,1849,
painting_12,sold,Llama,8500,,100,8500,600,200

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,4,550,9450,0.945,12,12,0,2533.417
Grok,2,1349,8651,0.865,12,12,0,2533.417
Llama,3,0,10000,1.0,12,12,0,2533.417
Opus,3,7700,2300,0.23,12,12,0,2533.417
Pro,0,10000,0,0.0,12,12,0,2533.417
