Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Llama,max_bid_Math-T4,max_bid_Opus,max_bid_Pro
painting_1,sold,Math-T4,1400,1300,1000,1400,700,950
painting_2,sold,Math-T4,1700,850,1600,1700,1400,1000
painting_3,sold,Math-T4,2600,850,2500,2600,950,1300
painting_4,sold,Math-T4,2100,850,2000,2100,950,1000
painting_5,sold,GPT-5.4,2300,2300,1200,2200,1500,1600
painting_6,sold,Opus,2300,1200,1600,2200,2300,1900
painting_7,sold,Llama,2500,1700,2500,2100,1000,2200
painting_8,sold,Pro,2500,2100,2400,2200,1400,2500
painting_9,sold,Llama,2500,1700,2500,2100,2200,1500
painting_10,sold,GPT-5.4,2500,2500,1700,1900,2300,2400
painting_11,sold,Pro,5201,100,,150,200,5201
painting_12,sold,Opus,5251,5001,,,5251,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,2,5200,4800,0.48,12,12,0,2737.667
Llama,2,5000,5000,0.5,12,12,0,2737.667
Math-T4,4,2200,7800,0.78,12,12,0,2737.667
Opus,2,2449,7551,0.755,12,12,0,2737.667
Pro,2,2299,7701,0.77,12,12,0,2737.667
