Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T5,1400,1400,,1300,600,950
painting_2,sold,Mimic-Llama,1550,,650,1550,1350,850
painting_3,sold,Mimic-Opus,2250,1850,2150,2050,2250,1650
painting_4,sold,Math-T5,1800,1800,950,1700,500,1300
painting_5,sold,Mimic-Llama,2550,2450,1350,2550,1050,950
painting_6,sold,Math-T5,2050,2050,1850,900,1650,1950
painting_7,sold,Mimic-Llama,4500,4250,3500,4500,1500,2900
painting_8,sold,Math-T5,3800,3800,3550,600,2750,1850
painting_9,sold,Mimic-Opus,2700,150,2600,1400,2700,500
painting_10,sold,Mimic-Pro,4250,500,4000,1100,2200,4250
painting_11,sold,Mimic-Pro,3250,,2500,1300,3000,3250
painting_12,sold,Mimic-Grok,5250,,5250,1200,5000,1000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,4,950,9050,0.905,12,12,0,2945.833
Mimic-Grok,1,4750,5250,0.525,12,12,0,2945.833
Mimic-Llama,3,1400,8600,0.86,12,12,0,2945.833
Mimic-Opus,2,5050,4950,0.495,12,12,0,2945.833
Mimic-Pro,2,2500,7500,0.75,12,12,0,2945.833
