Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Math-T5,max_bid_Opus,max_bid_Pro
painting_1,sold,Math-T5,1100,700,800,1100,850,1000
painting_2,sold,Math-T5,1300,950,800,1300,1100,1200
painting_3,sold,Opus,1900,950,800,1800,1900,900
painting_4,sold,Math-T5,1300,950,1100,1300,850,1200
painting_5,sold,Math-T5,1800,1700,1100,1800,850,1200
painting_6,sold,Math-T5,2300,1300,1500,2300,850,2200
painting_7,sold,Pro,2300,2100,1600,2200,1200,2300
painting_8,sold,GPT-5.4,2200,2200,1900,2100,1200,1300
painting_9,sold,Grok,2300,1900,2300,2000,2200,1800
painting_10,sold,Pro,2900,2800,2400,250,2100,2900
painting_11,sold,Grok,3750,3500,3750,250,2500,2200
painting_12,sold,Opus,7801,,,,7801,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,1,7800,2200,0.22,12,12,0,2579.25
Grok,2,3950,6050,0.605,12,12,0,2579.25
Math-T5,5,2200,7800,0.78,12,12,0,2579.25
Opus,2,299,9701,0.97,12,12,0,2579.25
Pro,2,4800,5200,0.52,12,12,0,2579.25
