Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Opus,max_bid_Pro
painting_1,sold,Llama,1500,350,100,1500,1100,
painting_2,sold,Opus,850,800,100,200,850,
painting_3,sold,Llama,400,350,100,400,,
painting_4,sold,GPT-5.4,250,250,100,200,,
painting_5,sold,Opus,850,150,100,800,850,
painting_6,sold,Llama,800,150,500,800,250,650
painting_7,sold,Grok,800,550,800,200,250,600
painting_8,sold,GPT-5.4,750,750,100,,700,
painting_9,sold,Opus,350,150,100,200,350,300
painting_10,sold,Opus,1900,1700,1000,1800,1900,
painting_11,sold,Grok,500,,500,150,,
painting_12,sold,GPT-5.4,8701,8701,7301,8951,,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,3,299,9701,0.97,12,12,0,1470.917
Grok,2,8700,1300,0.13,12,12,0,1470.917
Llama,3,7300,2700,0.27,12,12,0,1470.917
Opus,4,6050,3950,0.395,12,12,0,1470.917
Pro,0,10000,0,0.0,12,12,0,1470.917
