Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T4,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Math-T4,1300,1300,850,500,1200,750
painting_2,sold,Math-T4,2450,2450,1050,150,2350,1450
painting_3,sold,Mimic-Llama,4600,4350,1000,1300,4600,1400
painting_4,sold,Math-T4,4350,4350,1000,2000,4100,2200
painting_5,sold,Mimic-Llama,2500,1800,2000,2400,2500,1400
painting_6,sold,Mimic-GPT-5.4,2900,1900,2900,2000,2800,2500
painting_7,sold,Mimic-Llama,2900,1400,1800,2100,2900,2800
painting_8,sold,Mimic-GPT-5.4,3800,1650,3800,1750,,3550
painting_9,sold,Mimic-Grok,2600,1800,2500,2600,,900
painting_10,sold,Mimic-Pro,3750,1900,3250,3500,,3750
painting_11,sold,Mimic-Grok,6100,1800,2900,6100,,5850
painting_12,sold,Mimic-Pro,3500,1700,3250,600,,3500

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T4,3,1900,8100,0.81,12,12,0,3395.833
Mimic-GPT-5.4,2,3300,6700,0.67,12,12,0,3395.833
Mimic-Grok,2,1300,8700,0.87,12,12,0,3395.833
Mimic-Llama,3,0,10000,1.0,12,12,0,3395.833
Mimic-Pro,2,2750,7250,0.725,12,12,0,3395.833
