Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T1,1600,1600,650,1000,1500,1100
painting_2,sold,Math-T1,3050,3050,1050,2950,1550,1450
painting_3,sold,Mimic-Llama,5600,5350,1200,5600,2200,1500
painting_4,sold,Math-T1,4000,4000,900,1500,3750,1600
painting_5,sold,Mimic-Llama,3100,850,2900,3100,2800,2600
painting_6,sold,Mimic-Opus,2200,950,1700,1000,2200,2100
painting_7,sold,Mimic-Grok,3400,950,3400,1050,3150,2950
painting_8,sold,Mimic-Pro,4000,1000,1500,1100,3500,4000
painting_9,sold,Mimic-Opus,5000,1300,3250,850,5000,4500
painting_10,sold,Mimic-Pro,1850,1350,1750,950,1650,1850
painting_11,sold,Mimic-Grok,4300,1150,4300,1250,2150,4050
painting_12,sold,Mimic-Pro,2750,950,1850,1050,2650,2750

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,3,1350,8650,0.865,12,12,0,3404.167
Mimic-Grok,2,2300,7700,0.77,12,12,0,3404.167
Mimic-Llama,2,1300,8700,0.87,12,12,0,3404.167
Mimic-Opus,2,2800,7200,0.72,12,12,0,3404.167
Mimic-Pro,3,1400,8600,0.86,12,12,0,3404.167
