Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Opus,1200,600,650,1100,1200,800
painting_2,sold,Mimic-Llama,1500,1000,800,1500,350,1200
painting_3,sold,Math-T3,1100,1100,900,800,400,1000
painting_4,sold,Mimic-Opus,1600,800,1500,1400,1600,1000
painting_5,sold,Mimic-Llama,1700,1300,1500,1700,700,1000
painting_6,sold,Mimic-Pro,1450,1150,1350,1050,400,1450
painting_7,sold,Math-T3,1800,1800,1500,1700,650,1100
painting_8,sold,Mimic-Pro,2700,1600,1700,2600,750,2700
painting_9,sold,Mimic-Llama,6250,1800,6000,6250,2200,2300
painting_10,sold,Mimic-Grok,4750,4250,4750,500,2500,2000
painting_11,sold,Math-T3,5750,5750,2800,550,3750,5500
painting_12,sold,Mimic-Opus,3250,1100,3000,550,3250,2700

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,3,1350,8650,0.865,12,12,0,2754.167
Mimic-Grok,1,5250,4750,0.475,12,12,0,2754.167
Mimic-Llama,3,550,9450,0.945,12,12,0,2754.167
Mimic-Opus,3,3950,6050,0.605,12,12,0,2754.167
Mimic-Pro,2,5850,4150,0.415,12,12,0,2754.167
