Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Mimic-GPT-5.4,900,750,900,300,850,550
painting_2,sold,Mimic-Llama,1000,950,850,,1000,900
painting_3,sold,Mimic-Llama,1400,1100,900,750,1400,1300
painting_4,sold,Mimic-Grok,1800,1200,1300,1800,650,1600
painting_5,sold,Math-T3,1400,1400,1200,200,1000,1300
painting_6,sold,Mimic-Llama,2300,1000,1600,950,2300,2100
painting_7,sold,Mimic-Llama,2700,1900,1700,1200,2700,2600
painting_8,sold,Mimic-Opus,3000,2900,2100,950,450,3000
painting_9,sold,Math-T3,3800,3800,3550,2050,900,1950
painting_10,sold,Mimic-GPT-5.4,4250,3750,4250,3500,1700,3000
painting_11,sold,Mimic-Grok,4750,4250,3250,4750,2100,4500
painting_12,sold,Mimic-Opus,5250,4750,4250,1800,2400,5250

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,2,4800,5200,0.52,12,12,0,2712.5
Mimic-GPT-5.4,2,4850,5150,0.515,12,12,0,2712.5
Mimic-Grok,2,3450,6550,0.655,12,12,0,2712.5
Mimic-Llama,4,2600,7400,0.74,12,12,0,2712.5
Mimic-Opus,2,1750,8250,0.825,12,12,0,2712.5
