Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2962.5

painting_1 | status=sold | winner=Math-T5 | winning_bid=1400
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Grok RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Math-T5 RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Llama RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Pro RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Opus RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Grok RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Math-T5 RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Llama RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Pro RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Opus RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Grok RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Math-T5 RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Llama RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: Pro RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Opus PASS (before=900, leader_after=bidder_2)
  turn 19: Grok PASS (before=900, leader_after=bidder_2)
  turn 20: Math-T5 RAISE to 950 (before=900, leader_after=bidder_5)
  turn 21: Llama RAISE to 1000 (before=950, leader_after=bidder_1)
  turn 22: Pro RAISE to 1100 (before=1000, leader_after=bidder_2)
  turn 23: Math-T5 RAISE to 1200 (before=1100, leader_after=bidder_5)
  turn 24: Llama RAISE to 1300 (before=1200, leader_after=bidder_1)
  turn 25: Pro PASS (before=1300, leader_after=bidder_1)
  turn 26: Math-T5 RAISE to 1400 (before=1300, leader_after=bidder_5)
  turn 27: Llama PASS (before=1400, leader_after=bidder_5)

painting_2 | status=sold | winner=Math-T5 | winning_bid=1300
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Opus RAISE to 200 (before=150, leader_after=bidder_3)
