Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Grok,max_bid_Llama,max_bid_Math-T5,max_bid_Opus,max_bid_Pro
painting_1,sold,Math-T5,1400,750,1300,1400,700,1100
painting_2,sold,Math-T5,1300,750,1200,1300,950,900
painting_3,sold,Llama,1900,250,1900,1800,1400,1000
painting_4,sold,Pro,2400,1100,2300,2200,1500,2400
painting_5,sold,Math-T5,1700,1000,850,1700,1600,900
painting_6,sold,Math-T5,2900,1400,1200,2900,2800,900
painting_7,sold,Llama,4000,750,4000,2500,3750,1200
painting_8,sold,Opus,4250,1900,4000,2700,4250,1300
painting_9,sold,Grok,2600,2600,2500,550,1200,1600
painting_10,sold,Pro,2600,2200,2500,,1400,2600
painting_11,sold,Opus,5250,,2700,250,5250,5000
painting_12,sold,Grok,5250,5250,100,,,5000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Grok,2,2150,7850,0.785,12,12,0,2962.5
Llama,2,4100,5900,0.59,12,12,0,2962.5
Math-T5,4,2700,7300,0.73,12,12,0,2962.5
Opus,2,500,9500,0.95,12,12,0,2962.5
Pro,2,5000,5000,0.5,12,12,0,2962.5
