Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Llama,1600,600,800,1600,1400,900
painting_2,sold,Math-T3,950,950,900,750,600,850
painting_3,sold,Mimic-Opus,1400,900,1200,1300,1400,950
painting_4,sold,Mimic-Llama,1300,900,1000,1300,750,1200
painting_5,sold,Mimic-GPT-5.4,1500,1300,1500,1200,1000,1400
painting_6,sold,Mimic-Pro,2100,900,1400,2000,1200,2100
painting_7,sold,Mimic-GPT-5.4,2100,1900,2100,1800,1500,1400
painting_8,sold,Math-T3,2400,2400,1200,2300,2200,1500
painting_9,sold,Mimic-Llama,2600,1700,1300,2600,2400,1800
painting_10,sold,Math-T3,3750,3750,1800,2100,3500,3000
painting_11,sold,Mimic-Pro,4550,2150,3300,2750,4050,4550
painting_12,sold,Mimic-Opus,5750,2800,5250,4000,5750,1300

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,3,2900,7100,0.71,12,12,0,2500.0
Mimic-GPT-5.4,2,6400,3600,0.36,12,12,0,2500.0
Mimic-Llama,3,4500,5500,0.55,12,12,0,2500.0
Mimic-Opus,2,2850,7150,0.715,12,12,0,2500.0
Mimic-Pro,2,3350,6650,0.665,12,12,0,2500.0
