Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Llama,1500,950,900,1500,1400,1200
painting_2,sold,Mimic-Opus,1500,1100,1000,800,1500,1300
painting_3,sold,Mimic-GPT-5.4,1300,1300,550,1000,450,1100
painting_4,sold,Mimic-Llama,1800,850,1600,1800,400,1500
painting_5,sold,Mimic-Pro,1450,1150,1350,800,850,1450
painting_6,sold,Mimic-Grok,1900,1400,1900,1500,1700,1800
painting_7,sold,Mimic-Opus,1700,1300,1200,1500,1700,1100
painting_8,sold,Mimic-Grok,2300,2000,2300,2100,1700,2200
painting_9,sold,Mimic-GPT-5.4,2700,2700,250,2500,1300,1800
painting_10,sold,Mimic-Pro,3850,2400,2300,3600,2000,3850
painting_11,sold,Mimic-Pro,4250,2800,3750,4000,3250,4250
painting_12,sold,Mimic-Llama,5000,4750,4500,5000,4250,450

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Mimic-GPT-5.4,2,6000,4000,0.4,12,12,0,2437.5
Mimic-Grok,2,5800,4200,0.42,12,12,0,2437.5
Mimic-Llama,3,1700,8300,0.83,12,12,0,2437.5
Mimic-Opus,2,6800,3200,0.32,12,12,0,2437.5
Mimic-Pro,3,450,9550,0.955,12,12,0,2437.5
