Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Llama,max_bid_Math-T2,max_bid_Opus,max_bid_Pro
painting_1,sold,Llama,950,850,950,650,700,900
painting_2,sold,Llama,1000,850,1000,900,700,950
painting_3,sold,Opus,1200,1100,800,900,1200,1000
painting_4,sold,Pro,1400,1300,800,900,950,1400
painting_5,sold,GPT-5.4,1300,1300,1200,900,950,1000
painting_6,sold,Math-T2,1300,1200,1100,1300,950,1000
painting_7,sold,GPT-5.4,1500,1500,1100,1300,1400,1000
painting_8,sold,Llama,2000,1200,2000,1700,1800,1500
painting_9,sold,Llama,2400,1700,2400,1800,1900,2300
painting_10,sold,Pro,3750,2200,3500,3000,2400,3750
painting_11,sold,Opus,5100,3500,3250,3750,5100,4850
painting_12,sold,Math-T2,7450,7200,,7450,,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,2,7200,2800,0.28,12,12,0,2445.833
Llama,4,3650,6350,0.635,12,12,0,2445.833
Math-T2,2,1250,8750,0.875,12,12,0,2445.833
Opus,2,3700,6300,0.63,12,12,0,2445.833
Pro,2,4850,5150,0.515,12,12,0,2445.833
