Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Mimic-GPT-5.4,850,750,850,350,,500
painting_2,sold,Mimic-Llama,1500,1000,1300,950,1500,800
painting_3,sold,Mimic-Opus,1250,900,950,1150,600,1250
painting_4,sold,Math-T3,1300,1300,900,1000,1200,950
painting_5,sold,Mimic-Llama,1600,800,900,1100,1600,1400
painting_6,sold,Mimic-Llama,1500,1400,1300,150,1500,950
painting_7,sold,Mimic-Llama,3050,1850,2150,2950,3050,1650
painting_8,sold,Math-T3,2300,2300,2200,2000,850,1800
painting_9,sold,Mimic-Grok,3800,2350,3550,3800,700,2650
painting_10,sold,Mimic-GPT-5.4,5050,4550,5050,1150,900,2950
painting_11,sold,Math-T3,6000,6000,3750,2800,2000,5750
painting_12,sold,Mimic-Opus,4000,300,3750,3250,2300,4000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,3,400,9600,0.96,12,12,0,2683.333
Mimic-GPT-5.4,2,4100,5900,0.59,12,12,0,2683.333
Mimic-Grok,1,6200,3800,0.38,12,12,0,2683.333
Mimic-Llama,4,2350,7650,0.765,12,12,0,2683.333
Mimic-Opus,2,4750,5250,0.525,12,12,0,2683.333
