Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,950,750,900,250,700,950
painting_2,sold,Mimic-GPT-5.4,950,800,950,900,750,700
painting_3,sold,Mimic-Opus,1100,850,950,900,1100,1000
painting_4,sold,Mimic-Opus,1100,850,1000,900,1100,650
painting_5,sold,Mimic-Pro,1350,950,1250,1050,700,1350
painting_6,sold,Math-T2,1400,1400,1300,950,700,650
painting_7,sold,Math-T2,1500,1500,1400,1200,550,100
painting_8,sold,Mimic-Grok,2700,1300,2600,2700,950,900
painting_9,sold,Mimic-GPT-5.4,1900,1400,1900,950,1800,1600
painting_10,sold,Mimic-Grok,3350,2300,2500,3350,2800,3100
painting_11,sold,Math-T2,3500,3500,2600,800,2900,3250
painting_12,sold,Mimic-Opus,5000,3500,4750,,5000,4250

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,3,3600,6400,0.64,12,12,0,2066.667
Mimic-GPT-5.4,2,7150,2850,0.285,12,12,0,2066.667
Mimic-Grok,2,3950,6050,0.605,12,12,0,2066.667
Mimic-Opus,3,2800,7200,0.72,12,12,0,2066.667
Mimic-Pro,2,7700,2300,0.23,12,12,0,2066.667
