Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Mimic-GPT-5.4,900,800,900,,750,850
painting_2,sold,Mimic-Llama,1700,850,750,1000,1700,1500
painting_3,sold,Mimic-Llama,1450,800,650,1050,1450,1350
painting_4,sold,Mimic-Pro,1550,750,1050,950,1350,1550
painting_5,sold,Mimic-GPT-5.4,1300,1000,1300,900,750,1100
painting_6,sold,Mimic-GPT-5.4,1600,1200,1600,1500,1100,1300
painting_7,sold,Mimic-Llama,1950,1650,600,1050,1950,1750
painting_8,sold,Math-T2,1800,1800,950,1700,1000,1600
painting_9,sold,Mimic-Grok,3350,2100,1000,3350,2900,3100
painting_10,sold,Mimic-Pro,2800,2700,1800,900,2400,2800
painting_11,sold,Math-T2,4000,4000,3750,3250,2800,3000
painting_12,sold,Mimic-GPT-5.4,4000,3750,4000,1900,3500,750

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,2,4200,5800,0.58,12,12,0,2200.0
Mimic-GPT-5.4,4,2200,7800,0.78,12,12,0,2200.0
Mimic-Grok,1,6650,3350,0.335,12,12,0,2200.0
Mimic-Llama,3,4900,5100,0.51,12,12,0,2200.0
Mimic-Pro,2,5650,4350,0.435,12,12,0,2200.0
