Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-GPT-5.4,950,650,950,600,850,900
painting_2,sold,Mimic-Pro,1000,950,900,750,650,1000
painting_3,sold,Mimic-Opus,1600,700,1200,1400,1600,850
painting_4,sold,Mimic-GPT-5.4,1500,850,1500,1300,1200,1400
painting_5,sold,Math-T2,1100,1100,850,1000,900,800
painting_6,sold,Mimic-Grok,1700,900,1000,1700,1600,1400
painting_7,sold,Mimic-Pro,1700,1500,1300,950,1400,1700
painting_8,sold,Mimic-GPT-5.4,2200,1400,2200,2100,1900,1500
painting_9,sold,Math-T2,2150,2150,1450,100,2050,1950
painting_10,sold,Mimic-Pro,2950,1850,1150,2750,2550,2950
painting_11,sold,Math-T2,3350,3350,1700,2000,3100,2300
painting_12,sold,Mimic-Opus,4800,3300,2850,4300,4800,2350

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,3,3400,6600,0.66,12,12,0,2083.333
Mimic-GPT-5.4,3,5350,4650,0.465,12,12,0,2083.333
Mimic-Grok,1,8300,1700,0.17,12,12,0,2083.333
Mimic-Opus,2,3600,6400,0.64,12,12,0,2083.333
Mimic-Pro,3,4350,5650,0.565,12,12,0,2083.333
