Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-GPT-5.4,800,750,800,550,500,700
painting_2,sold,Mimic-Pro,1000,900,950,850,800,1000
painting_3,sold,Mimic-Pro,1600,950,1000,1400,1200,1600
painting_4,sold,Math-T3,1500,1500,750,850,1400,550
painting_5,sold,Mimic-Opus,1450,950,1350,1250,1450,550
painting_6,sold,Mimic-Grok,1700,1000,1600,1700,900,650
painting_7,sold,Math-T3,1800,1800,1700,1500,1300,900
painting_8,sold,Mimic-GPT-5.4,2300,1400,2300,950,2100,1200
painting_9,sold,Mimic-GPT-5.4,2200,1300,2200,2000,1800,1600
painting_10,sold,Math-T3,2400,2400,1600,100,2300,2000
painting_11,sold,Mimic-Pro,5000,3000,2200,4250,4750,5000
painting_12,sold,Mimic-Opus,4750,4250,3000,100,4750,350

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,3,4300,5700,0.57,12,12,0,2208.333
Mimic-GPT-5.4,3,4700,5300,0.53,12,12,0,2208.333
Mimic-Grok,1,8300,1700,0.17,12,12,0,2208.333
Mimic-Opus,2,3800,6200,0.62,12,12,0,2208.333
Mimic-Pro,3,2400,7600,0.76,12,12,0,2208.333
