Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Math-T5,1600,1600,1000,1500,800,900
painting_2,sold,Mimic-Llama,2000,1700,850,450,2000,1900
painting_3,sold,Math-T5,1800,1800,1700,1500,1000,1100
painting_4,sold,Mimic-Llama,2100,1900,1300,1000,2100,1600
painting_5,sold,Math-T5,2400,2400,1800,100,950,2300
painting_6,sold,Mimic-Llama,3550,3300,2150,900,3550,2750
painting_7,sold,Mimic-Opus,4500,4000,2900,2700,2200,4500
painting_8,sold,Mimic-Grok,4500,4000,2700,4500,1700,1800
painting_9,sold,Mimic-GPT-5.4,4050,3800,4050,850,2250,1550
painting_10,sold,Mimic-GPT-5.4,4250,,4250,1200,2300,4000
painting_11,sold,Mimic-Opus,5500,400,1400,5100,2300,5500
painting_12,sold,Mimic-Grok,2300,,1500,2300,2200,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,3,4200,5800,0.58,12,12,0,3212.5
Mimic-GPT-5.4,2,1700,8300,0.83,12,12,0,3212.5
Mimic-Grok,2,3200,6800,0.68,12,12,0,3212.5
Mimic-Llama,3,2350,7650,0.765,12,12,0,3212.5
Mimic-Opus,2,0,10000,1.0,12,12,0,3212.5
