Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Opus,max_bid_Pro
painting_1,sold,Llama,2000,350,100,2000,1600,
painting_2,sold,Llama,1500,200,1000,1500,150,250
painting_3,sold,Opus,550,500,100,,550,
painting_4,sold,Opus,600,550,100,,600,250
painting_5,sold,GPT-5.4,500,500,100,250,,450
painting_6,sold,GPT-5.4,250,250,200,,,
painting_7,sold,Pro,300,150,100,250,,300
painting_8,sold,Pro,800,750,400,,150,800
painting_9,sold,GPT-5.4,600,600,550,,,200
painting_10,sold,Grok,2000,1300,2000,,,
painting_11,sold,Opus,3500,1200,3250,,3500,
painting_12,sold,GPT-5.4,6750,6750,6500,7000,,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,4,1900,8100,0.81,12,12,0,1612.5
Grok,1,8000,2000,0.2,12,12,0,1612.5
Llama,2,6500,3500,0.35,12,12,0,1612.5
Opus,3,5350,4650,0.465,12,12,0,1612.5
Pro,2,8900,1100,0.11,12,12,0,1612.5
