Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,900,750,500,800,850,900
painting_2,sold,Mimic-Llama,1850,1050,1650,1850,800,1350
painting_3,sold,Mimic-Opus,1700,1600,1500,1200,1700,1400
painting_4,sold,Mimic-Llama,1600,1500,200,1600,750,950
painting_5,sold,Mimic-GPT-5.4,1200,1200,950,400,450,1100
painting_6,sold,Mimic-Grok,1500,1200,1500,1300,1400,1000
painting_7,sold,Mimic-Opus,1600,1500,900,1000,1600,1300
painting_8,sold,Mimic-Pro,1900,1800,1200,1500,1600,1900
painting_9,sold,Mimic-GPT-5.4,3250,3250,3000,2900,2000,1600
painting_10,sold,Mimic-Llama,3750,1900,3500,3750,2100,2600
painting_11,sold,Mimic-Pro,4250,4000,3750,2600,3250,4250
painting_12,sold,Mimic-Opus,5750,5500,5000,2700,5750,1100

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Mimic-GPT-5.4,2,5550,4450,0.445,12,12,0,2437.5
Mimic-Grok,1,8500,1500,0.15,12,12,0,2437.5
Mimic-Llama,3,2800,7200,0.72,12,12,0,2437.5
Mimic-Opus,3,950,9050,0.905,12,12,0,2437.5
Mimic-Pro,3,2950,7050,0.705,12,12,0,2437.5
