Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T2,850,850,800,,650,700
painting_2,sold,Mimic-Opus,1500,700,1300,1400,1500,1200
painting_3,sold,Mimic-Pro,1050,700,950,500,350,1050
painting_4,sold,Mimic-GPT-5.4,1250,950,1250,900,650,1050
painting_5,sold,Mimic-Grok,1300,950,1200,1300,1000,1100
painting_6,sold,Mimic-Grok,1750,1250,1550,1750,1350,1450
painting_7,sold,Mimic-GPT-5.4,1600,1400,1600,200,1100,1500
painting_8,sold,Mimic-Grok,2200,1800,1500,2200,2000,2100
painting_9,sold,Mimic-Opus,2350,2250,1950,250,2350,1850
painting_10,sold,Mimic-Pro,3250,3000,2200,,450,3250
painting_11,sold,Math-T2,2900,2900,2800,1100,1500,2700
painting_12,sold,Math-T2,5750,5750,4500,1700,5500,4250

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,3,500,9500,0.95,12,12,0,2145.833
Mimic-GPT-5.4,2,7150,2850,0.285,12,12,0,2145.833
Mimic-Grok,3,4750,5250,0.525,12,12,0,2145.833
Mimic-Opus,2,6150,3850,0.385,12,12,0,2145.833
Mimic-Pro,2,5700,4300,0.43,12,12,0,2145.833
