Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,1600,850,1000,1300,1500,1600
painting_2,sold,Mimic-Llama,1600,700,550,1600,1400,950
painting_3,sold,Mimic-Opus,1500,800,1100,950,1500,1400
painting_4,sold,Mimic-Llama,1600,1100,1000,1600,1500,750
painting_5,sold,Mimic-GPT-5.4,1250,1150,1250,900,950,800
painting_6,sold,Math-T2,1400,1400,1300,850,950,1100
painting_7,sold,Mimic-Llama,2300,1200,1500,2300,1900,2200
painting_8,sold,Mimic-GPT-5.4,1900,1400,1900,900,1500,1800
painting_9,sold,Mimic-Opus,2300,2200,1900,1100,2300,1400
painting_10,sold,Mimic-Pro,3000,2900,2700,1300,1400,3000
painting_11,sold,Math-T2,2700,2700,2300,2600,2200,2400
painting_12,sold,Math-T2,4750,4750,4500,3250,3750,2900

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,3,1150,8850,0.885,12,12,0,2158.333
Mimic-GPT-5.4,2,6850,3150,0.315,12,12,0,2158.333
Mimic-Llama,3,4500,5500,0.55,12,12,0,2158.333
Mimic-Opus,2,6200,3800,0.38,12,12,0,2158.333
Mimic-Pro,2,5400,4600,0.46,12,12,0,2158.333
