Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T4,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T4,1150,1150,1050,800,950,850
painting_2,sold,Math-T4,1700,1700,1200,1300,1600,1400
painting_3,sold,Math-T4,1600,1600,1200,450,1500,950
painting_4,sold,Math-T4,1800,1800,1000,1600,1400,1700
painting_5,sold,Math-T4,2400,2400,1700,1800,2300,1400
painting_6,sold,Mimic-Opus,2300,1000,1800,2200,2300,1500
painting_7,sold,Mimic-GPT-5.4,2700,1100,2700,2500,1600,2600
painting_8,sold,Mimic-Grok,3000,1100,2500,3000,1200,2800
painting_9,sold,Mimic-Pro,4100,1000,3850,1700,2300,4100
painting_10,sold,Mimic-GPT-5.4,4550,1150,4550,4300,3300,3050
painting_11,sold,Mimic-Opus,2600,950,2400,2100,2600,2500
painting_12,sold,Mimic-Grok,5350,1300,2300,5350,4600,5100

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T4,5,1350,8650,0.865,12,12,0,2770.833
Mimic-GPT-5.4,2,2750,7250,0.725,12,12,0,2770.833
Mimic-Grok,2,1650,8350,0.835,12,12,0,2770.833
Mimic-Opus,2,5100,4900,0.49,12,12,0,2770.833
Mimic-Pro,1,5900,4100,0.41,12,12,0,2770.833
