Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Opus,1000,550,950,850,1000,750
painting_2,sold,Mimic-Llama,1600,700,1400,1600,1000,1500
painting_3,sold,Mimic-Pro,1200,1000,1100,950,450,1200
painting_4,sold,Mimic-Llama,1400,1100,1200,1400,750,650
painting_5,sold,Mimic-GPT-5.4,1400,1300,1400,750,1200,1000
painting_6,sold,Mimic-Llama,1600,1500,1000,1600,1200,1100
painting_7,sold,Mimic-Llama,2100,1300,1400,2100,2000,1000
painting_8,sold,Math-T2,2100,2100,2000,450,1200,1100
painting_9,sold,Mimic-Pro,2700,2000,2100,750,2600,2700
painting_10,sold,Mimic-GPT-5.4,2900,2500,2900,1700,2800,1400
painting_11,sold,Mimic-Opus,4600,4100,3100,2400,4600,4350
painting_12,sold,Math-T2,4550,4550,4300,2450,2350,3550

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,2,3350,6650,0.665,12,12,0,2262.5
Mimic-GPT-5.4,2,5700,4300,0.43,12,12,0,2262.5
Mimic-Llama,4,3300,6700,0.67,12,12,0,2262.5
Mimic-Opus,2,4400,5600,0.56,12,12,0,2262.5
Mimic-Pro,2,6100,3900,0.39,12,12,0,2262.5
