Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2341.667

painting_1 | status=sold | winner=Mimic-Llama | winning_bid=1250
  turn 1: Mimic-GPT-5.4 RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Pro RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Grok RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Math-T3 RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Mimic-Llama RAISE to 350 (before=250, leader_after=bidder_5)
  turn 6: Mimic-GPT-5.4 RAISE to 400 (before=350, leader_after=bidder_1)
  turn 7: Mimic-Pro RAISE to 450 (before=400, leader_after=bidder_2)
  turn 8: Mimic-Grok RAISE to 600 (before=450, leader_after=bidder_3)
  turn 9: Math-T3 RAISE to 650 (before=600, leader_after=bidder_4)
  turn 10: Mimic-Llama RAISE to 700 (before=650, leader_after=bidder_5)
  turn 11: Mimic-GPT-5.4 RAISE to 750 (before=700, leader_after=bidder_1)
  turn 12: Mimic-Pro RAISE to 850 (before=750, leader_after=bidder_2)
  turn 13: Mimic-Grok PASS (before=850, leader_after=bidder_2)
  turn 14: Math-T3 PASS (before=850, leader_after=bidder_2)
  turn 15: Mimic-Llama RAISE to 900 (before=850, leader_after=bidder_5)
  turn 16: Mimic-GPT-5.4 RAISE to 950 (before=900, leader_after=bidder_1)
  turn 17: Mimic-Pro RAISE to 1050 (before=950, leader_after=bidder_2)
  turn 18: Mimic-Llama RAISE to 1250 (before=1050, leader_after=bidder_5)
  turn 19: Mimic-GPT-5.4 PASS (before=1250, leader_after=bidder_5)
  turn 20: Mimic-Pro PASS (before=1250, leader_after=bidder_5)

painting_2 | status=sold | winner=Mimic-Pro | winning_bid=1050
  turn 1: Mimic-GPT-5.4 RAISE to 150 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Pro RAISE to 200 (before=150, leader_after=bidder_2)
  turn 3: Mimic-Grok RAISE to 250 (before=200, leader_after=bidder_3)
  turn 4: Math-T3 RAISE to 300 (before=250, leader_after=bidder_4)
